categorie_name,question,answer,good_answer
Actualités IA,qu'est ce que l'IA ?,processus d'imitation de l'intelligence humaine ,1
Actualités IA,qu'est ce que l'IA ?,un outil capable de battre les meilleurs joueurs d'échecs du monde ,1
Actualités IA,qu'est ce que l'IA ?,un acronyme signifiant Institut automatisé,0
Actualités IA,qu'est ce que l'IA ?,un outil qui va mettre hors jeu un certain nombre de métier ,1
Actualités IA,quels sont les fondateurs de l'IA ?,John Lennon,0
Actualités IA,quels sont les fondateurs de l'IA ?,John McCarthy,1
Actualités IA,quels sont les fondateurs de l'IA ?,Marvin Lee Minsky,1
Actualités IA,quels sont les fondateurs de l'IA ?,Linus Torvald,0
Actualités IA,Quelle est la version la plus récente de chatGPT en 2023 ?,GPT-4,1
Actualités IA,Quelle est la version la plus récente de chatGPT en 2023 ?,GPT-3,0
Actualités IA,Quelle est la version la plus récente de chatGPT en 2023 ?,GPT-5,0
Actualités IA,Quelle est la version la plus récente de chatGPT en 2023 ?,GPT-6,0
Actualités IA,qui est l'éditeur de chatGPT ?,OpenIA,0
Actualités IA,qui est l'éditeur de chatGPT ?,AppleGPT-4,0
Actualités IA,qui est l'éditeur de chatGPT ?,OpenAI,1
Actualités IA,qui est l'éditeur de chatGPT ?,HeyGen,0
Actualités IA,Quand l'ia depassera l'intelligence d'un humain selon Mo Gawdat (ex-directeur commercial de Google X) ?,en 2029,1
Actualités IA,Quand l'ia depassera l'intelligence d'un humain selon Mo Gawdat (ex-directeur commercial de Google X) ?,en 2036,0
Actualités IA,Quand l'ia depassera l'intelligence d'un humain selon Mo Gawdat (ex-directeur commercial de Google X) ?,en 2046,0
Actualités IA,Quand l'ia depassera l'intelligence d'un humain selon Mo Gawdat (ex-directeur commercial de Google X) ?,en 2050,0
Culture,"D'après ChatGPT, quelles sont les fromages qui sentent le plus fort ?","Le fromage qui sent le plus fort est souvent considéré comme le fromage de munster, le fromage bleu ou certains fromages à pâte molle comme le camembert bien affiné.",1
Culture,"D'après ChatGPT, quelles sont les fromages qui sentent le plus fort ?","Le fromage qui sent le plus fort est souvent considéré comme le fromage de munster, le fromage bleu ou le maroille.",0
Culture,"D'après ChatGPT, quelles sont les fromages qui sentent le plus fort ?","Le fromage qui sent le plus fort est souvent considéré comme le fromage de munster, le maroille ou l'époisse.",0
Culture,"D'après ChatGPT, quelles sont les fromages qui sentent le plus fort ?","Le fromage qui sent le plus fort est souvent considéré comme le Kiri®, la Vache Qui Rit® ou le Babybel®.",0
Culture,Qui est considéré·e comme le premier programmeur au monde ?,Grace Hopper,0
Culture,Qui est considéré·e comme le premier programmeur au monde ?,John McCarthy,0
Culture,Qui est considéré·e comme le premier programmeur au monde ?,Alan Turing,0
Culture,Qui est considéré·e comme le premier programmeur au monde ?,Ada Lovelace,1
Culture,Qui est considéré·e comme le premier calculateur électromécanique programmable binaire à virgule flottante ?,Alan Turing,0
Culture,Qui est considéré·e comme le premier calculateur électromécanique programmable binaire à virgule flottante ?,Ada Lovelace,0
Culture,Qui est considéré·e comme le premier calculateur électromécanique programmable binaire à virgule flottante ?,Konrad Zuse,1
Culture,Qui est considéré·e comme le premier calculateur électromécanique programmable binaire à virgule flottante ?,Bill Gates,0
Culture,Qui est considéré·e comme le premier calculateur électromécanique programmable binaire à virgule flottante ?,Steve Jobs,0
SQL,Quelle est la syntaxe correcte pour sélectionner toutes les colonnes d'une table appelée 'employes' ?,SELECT * FROM employes,1
SQL,Quelle est la syntaxe correcte pour sélectionner toutes les colonnes d'une table appelée 'employes' ?,SELECT columns(employes),0
SQL,Quelle est la syntaxe correcte pour sélectionner toutes les colonnes d'une table appelée 'employes' ?,SHOW ALL employes;,0
SQL,Quelle est la syntaxe correcte pour sélectionner toutes les colonnes d'une table appelée 'employes' ?,GET employes;,0
SQL,Quelle fonction est utilisée pour trouver le nombre de lignes dans une table ?,COUNT(*),1
SQL,Quelle fonction est utilisée pour trouver le nombre de lignes dans une table ?,NUMROWS(),0
SQL,Quelle fonction est utilisée pour trouver le nombre de lignes dans une table ?,TOTALROWS(),0
SQL,Quelle fonction est utilisée pour trouver le nombre de lignes dans une table ?,ROWCOUNT(),0
SQL,Quelle déclaration est utilisée pour ajouter une nouvelle colonne appelée 'age' à une table existante nommée 'clients' ?,ALTER TABLE clients ADD COLUMN age INT,1
SQL,Quelle déclaration est utilisée pour ajouter une nouvelle colonne appelée 'age' à une table existante nommée 'clients' ?,UPDATE TABLE clients SET age = INT,0
SQL,Quelle déclaration est utilisée pour ajouter une nouvelle colonne appelée 'age' à une table existante nommée 'clients' ?,ADD age TO TABLE clients,0
SQL,Quelle déclaration est utilisée pour ajouter une nouvelle colonne appelée 'age' à une table existante nommée 'clients' ?,MODIFY clients ADD COLUMN age INT,0
SQL,Que fait la clause WHERE dans une requête SQL ?,Elle spécifie l'ordre des résultats,0
